B1676	Tensione batteria fuori campo[Fiat]
C1509	Controllo slittamento ruote[Fiat]
C1512	Sensore angolo di sterzata calibratura[Fiat]
C1517	Sensore angolo di sterzata calibratura[Fiat]
C1520	Bus dati CAN[Fiat]
C1521	Messaggio CAN centralina controllo motore[Fiat]
C1522	Messaggio CAN strumento multiplo[Fiat]
C1550	Unita' di controllo[Fiat]
C1607	Centrlalina[Fiat]
C1779	Ventilatore radiatore raffreddamento[Fiat]
C1800	Tensione batteria[Fiat]
C1802	Tensione batteria(troppo bassa)[Fiat]
C1881	Codice variante[Fiat]
P0000	NO SE ENCUENTRA NINGUNA AVERIA
P0001	Control regulador volumen combustible - circuito abierto
P0002	Control regulador volumen combustible - rango/funcionamiento circuito
P0003	Control regulador volumen combustible - señal baja
P0004	Control regulador volumen combustible - señal alta
P0005	Valvula corte combustible - circuito abierto
P0006	Valvula corte combustible - señal baja
P0007	Valvula corte combustible - señal alta
P0008	Sistema posicion motor (bloque 1) - rendimiento
P0009	Sistema posicion motor (bloque 2) - rendimiento
P0010	Actuador posicion arbol levas (bloque 1) - circuito defectuoso
P0011	Posicion arbol levas (bloque 1) - encendido avanzado, rendimiento
P0012	Posicion arbol levas (bloque 1) - encendido atrasado
P0013	Actuador posicion arbol levas (bloque 1) - circuito defectuoso
P0014	Actuador posicion arbol levas (bloque 1) - encendido avanzado, rendimiento
P0015	Actuador posicion arbol levas (bloque 1) - encendido atrasado
P0016	Posicion cigueñal-arbol levas (bloque 1 sensor A) - correlacion
P0017	Posicion cigueñal-arbol levas (bloque 1 sensor B) - correlacion
P0018	Posicion cigueñal-arbol levas (bloque 2 sensor A) - correlacion
P0019	Posicion cigueñal-arbol levas (bloque 2 sensor B) - correlacion
P0020	Actuador posicion arbol levas (bloque 2) - circuito defectuoso
P0021	Posicion arbol levas (bloque 2) - encendido avanzado, rendimiento
P0022	Posicion arbol levas (bloque 2) - encendido atrasado
P0023	Actuador posicion arbol levas (bloque 2) - circuito defectuoso
P0024	Actuador posicion arbol levas (bloque 2) - encendido avanzado, rendimiento
P0025	Actuador posicion arbol levas (bloque 2) - encendido atrasado
P0026	Circuito solenoide control valvula admision (bloque 1) - rango
P0027	Circuito solenoide control valvula escape (bloque 1) - rango
P0028	Circuito solenoide control valvula admision (bloque 2) - rango
P0029	Circuito solenoide control valvula escape (bloque 2) - rango
P0030	Sensor calentado oxigeno (Sensor 1 bloque 1) - circuito defectuoso
P0031	Sensor calentado oxigeno (Sensor 1 bloque 1) - señal baja
P0032	Sensor calentado oxigeno (Sensor 1 bloque 1) - señal alta
P0033	Valvula descarga turbocompresor - circuito defectuoso
P0034	Valvula descarga turbocompresor - señal baja
P0035	Valvula descarga turbocompresor - señal alta
P0036	Sensor calentado oxigeno (Sensor 2 bloque 1) - circuito defectuoso
P0037	Sensor calentado oxigeno (Sensor 2 bloque 1) - señal baja
P0038	Sensor calentado oxigeno (Sensor 2 bloque 1) - señal alta
P0039	Valvula derivacion turbocompresor - rango
P0040	Señales sensor oxigeno cambiadas (bloque 1 sensor 1 y bloque 2 sensor 1)
P0041	Señales sensor oxigeno cambiadas (bloque 1 sensor 2 y bloque 2 sensor 2)
P0042	Sensor calentado oxigeno (Sensor 3 bloque 1) - circuito defectuoso
P0043	Sensor calentado oxigeno (Sensor 3 bloque 1) - señal baja
P0044	Sensor calentado oxigeno (Sensor 3 bloque 1) - señal alta
P0045	Solenoide sobrealimentacion turbocompresor - circuito abierto
P0046	Solenoide sobrealimentacion turbocompresor - rango, rendimiento
P0047	Solenoide sobrealimentacion turbocompresor - señal baja
P0048	Solenoide sobrealimentacion turbocompresor - señal alta
P0049	Turbina turbocompresor - sobrevelocidad
P0050	Sensor calentado oxigeno (Sensor 1 bloque 2) - circuito defectuoso
P0051	Sensor calentado oxigeno (Sensor 1 bloque 2) - señal baja
P0052	Sensor calentado oxigeno (Sensor 1 bloque 2) - señal alta
P0053	Sensor calentado oxigeno (Sensor 1 bloque 1) - resistencia
P0054	Sensor calentado oxigeno (Sensor 2 bloque 1) - resistencia
P0055	Sensor calentado oxigeno (Sensor 3 bloque 1) - resistencia
P0056	Sensor calentado oxigeno (Sensor 2 bloque 2) - circuito defectuoso
P0057	Sensor calentado oxigeno (Sensor 2 bloque 2) - señal baja
P0058	Sensor calentado oxigeno (Sensor 2 bloque 2) - señal alta
P0059	Sensor calentado oxigeno (Sensor 1 bloque 2) - resistencia
P0060	Sensor calentado oxigeno (Sensor 2 bloque 2) - resistencia
P0061	Sensor calentado oxigeno (Sensor 3 bloque 2) - resistencia
P0062	Sensor calentado oxigeno (Sensor 3 bloque 2) - circuito defectuoso
P0063	Sensor calentado oxigeno (Sensor 3 bloque 2) - señal baja
P0064	Sensor calentado oxigeno (Sensor 3 bloque 2) - señal alta
P0065	Inyector asistido por aire - rango,funcionamiento
P0066	Inyector asistido por aire - circuito defectuoso, señal baja
P0067	Inyector asistido por aire - señal alta
P0068	Correlacion sensor MAP/sensor MAF/Posicion mariposa
P0069	Correlacion sensor presion absoluta colector/sensor presion barometrica
P0070	Sensor temperatura aire ambiente - circuito defectuoso
P0071	Sensor temperatura aire ambiente - rango,funcionamiento
P0072	Sensor temperatura aire ambiente - señal baja
P0073	Sensor temperatura aire ambiente - señal alta
P0074	Sensor temperatura aire ambiente - Interrupcion intermitente
P0075	Solenoide control valvula admision (bloque 1) - circuito defectuoso
P0076	Solenoide control valvula admision (bloque 1) - señal baja
P0077	Solenoide control valvula admision (bloque 1) - señal alta
P0078	Solenoide control valvula escape (bloque 1) - circuito defectuoso
P0079	Solenoide control valvula escape (bloque 1) - señal baja
P0080	Solenoide control valvula escape (bloque 1) - señal alta
P0081	Solenoide control valvula admision (bloque 2) - circuito defectuoso
P0082	Solenoide control valvula admision (bloque 2) - señal baja
P0083	Solenoide control valvula admision (bloque 2) - señal alta
P0084	Solenoide control valvula escape (bloque 2) - circuito defectuoso
P0085	Solenoide control valvula escape (bloque 2) - señal baja
P0086	Solenoide control valvula escape (bloque 2) - señal alta
P0087	Rampa combustible/Presion sistema demasiado baja
P0088	Rampa combustible/Presion sistema demasiado alta
P0089	Regulador presion combustible 1 - funcionamiento
P0090	Solenoide dosificador combustible 1 - circuito abierto
P0091	Solenoide dosificador combustible 1 - cortocircuito a masa
P0092	Solenoide dosificador combustible 1 - cortocircuito a positivo
P0093	Fuga en sistema combustible - fuga grande
P0094	Fuga en sistema combustible - fuga pequeña
P0095	Sensor temperatura aire admision 2 - circuito defectuoso
P0096	Sensor temperatura aire admision 2 - rango,funcionamiento
P0097	Sensor temperatura aire admision 2 - señal baja
P0098	Sensor temperatura aire admision 2 - señal alta
P0099	Sensor temperatura aire admision 2 - circuito intermitente
P0100	Sensor masa/volumen aire - circuito defectuoso
P0101	Sensor masa/volumen aire - rango,funcionamiento
P0102	Sensor masa/volumen aire - señal entrada baja
P0103	Sensor masa/volumen aire - señal entrada alta
P0104	Sensor masa/volumen aire - interrupcion intermitente
P0105	Sensor presion absoluta colector/presion barometrica - circuito defectuoso
P0106	Sensor presion absoluta colector/presion barometrica - rango,funcionamiento
P0107	Sensor presion absoluta colector/presion barometrica - señal entrada baja
P0108	Sensor presion absoluta colector/presion barometrica - señal entrada alta
P0109	Sensor presion absoluta colector/presion barometrica - interrupcion intermitente
P0110	Sensor temperatura aire admision - circuito defectuoso
P0111	Sensor temperatura aire admision - rango,funcionamiento
P0112	Sensor temperatura aire admision - señal entrada baja
P0113	Sensor temperatura aire admision - señal entrada alta
P0114	Sensor temperatura aire admision - interrupcion intermitente
P0115	Sensor temperatura refrigerante motor - circuito defectuoso
P0116	Sensor temperatura refrigerante motor - rango, funcionamiento
P0117	Sensor temperatura refrigerante motor - señal entrada baja
P0118	Sensor temperatura refrigerante motor - señal entrada alta
P0119	Sensor temperatura refrigerante motor - interrupcion intermitente
P0120	Sensor posicion pedal acelerador A/Mariposa A - circuito defectuoso
P0121	Sensor posicion pedal acelerador A/Mariposa A - rango, funcionamiento
P0122	Sensor posicion pedal acelerador A/Mariposa A - señal entrada baja
P0123	Sensor posicion pedal acelerador A/Mariposa A - señal entrada alta
P0124	Sensor posicion pedal acelerador A/Mariposa A - interrupcion intermitente
P0125	Temperatura refrigerante insuficiente para control combustible bucle cerrado
P0126	Temperatura refrigerante insuficiente para funcionamiento estable
P0127	Temperatura aire admision demasiado alta
P0128	Termostato refrigerante - circuito defectuoso
P0129	Presion barometrica demasiado baja
P0130	Sensor oxigeno (Sensor 1 bloque 1) - circuito defectuoso
P0131	Sensor oxigeno (Sensor 1 bloque 1) - Baja Tension
P0132	Sensor oxigeno (Sensor 1 bloque 1) - Alta Tension
P0133	Sensor oxigeno (Sensor 1 bloque 1) - respuesta lenta
P0134	Sensor oxigeno (Sensor 1 bloque 1) - actividad no detectada
P0135	Sensor calentado oxigeno (Sensor 1 bloque 1) - circuito defectuoso
P0136	Sensor oxigeno (Sensor 2 bloque 1) - circuito defectuoso
P0137	Sensor oxigeno (Sensor 2 bloque 1) - Baja Tension
P0138	Sensor oxigeno (Sensor 2 bloque 1) - Alta Tension
P0139	Sensor oxigeno (Sensor 2 bloque 1) - respuesta lenta
P0140	Sensor oxigeno (Sensor 2 bloque 1) - actividad no detectada
P0141	Sensor calentado oxigeno (Sensor 2 bloque 1) - circuito defectuoso
P0142	Sensor oxigeno (Sensor 3 bloque 1) - circuito defectuoso
P0143	Sensor oxigeno (Sensor 3 bloque 1) - Baja Tension
P0144	Sensor oxigeno (Sensor 3 bloque 1) - Alta Tension
P0145	Sensor oxigeno (Sensor 3 bloque 1) - respuesta lenta
P0146	Sensor oxigeno (Sensor 3 bloque 1) - actividad no detectada
P0147	Sensor calentado oxigeno (Sensor 3 bloque 1) - circuito defectuoso
P0148	Error alimentacion combustible
P0149	Error reglaje combustible
P0150	Sensor oxigeno (Sensor 1 bloque 2) - circuito defectuoso
P0151	Sensor oxigeno (Sensor 1 bloque 2) - Baja Tension
P0152	Sensor oxigeno (Sensor 1 bloque 2) - Alta Tension
P0153	Sensor oxigeno (Sensor 1 bloque 2) - respuesta lenta
P0154	Sensor oxigeno (Sensor 1 bloque 2) - actividad no detectada
P0155	Sensor calentado oxigeno (Sensor 1 bloque 2) - circuito defectuoso
P0156	Sensor oxigeno (Sensor 2 bloque 2) - circuito defectuoso
P0157	Sensor oxigeno (Sensor 2 bloque 2) - Baja Tension
P0158	Sensor oxigeno (Sensor 2 bloque 2) - Alta Tension
P0159	Sensor oxigeno (Sensor 2 bloque 2) - respuesta lenta
P0160	Sensor oxigeno (Sensor 2 bloque 2) - actividad no detectada
P0161	Sensor calentado oxigeno (Sensor 2 bloque 2) - circuito defectuoso
P0162	Sensor oxigeno (Sensor 3 bloque 2) - circuito defectuoso
P0163	Sensor oxigeno (Sensor 3 bloque 2) - Baja Tension
P0164	Sensor oxigeno (Sensor 3 bloque 2) - Alta Tension
P0165	Sensor oxigeno (Sensor 3 bloque 2) - respuesta lenta
P0166	Sensor oxigeno (Sensor 3 bloque 2) - actividad no detectada
P0167	Sensor calentado oxigeno (Sensor 3 bloque 2) - circuito defectuoso
P0168	Temperatura combustible demasiado alta
P0169	Composicion combustible incorrecta
P0170	Regulacion inyeccion (bloque 1) - circuito defectuoso
P0171	Regulacion inyeccion (bloque 1) - demasiado pobre
P0172	Regulacion inyeccion (bloque 1) - demasiado rico
P0173	Regulacion inyeccion (bloque 2) - circuito defectuoso
P0174	Regulacion inyeccion (bloque 2) - demasiado pobre
P0175	Regulacion inyeccion (bloque 2) - demasiado rico
P0176	Sensor composicion combustible - circuito defectuoso
P0177	Sensor composicion combustible - rango,funcionamiento
P0178	Sensor composicion combustible - señal entrada baja
P0179	Sensor composicion combustible - señal entrada alta
P0180	Sensor temperatura combustible A - circuito defectuoso
P0181	Sensor temperatura combustible A - rango,funcionamiento
P0182	Sensor temperatura combustible A - señal entrada baja
P0183	Sensor temperatura combustible A - señal entrada alta
P0184	Sensor temperatura combustible A - interrupcion intermitente
P0185	Sensor temperatura combustible B - circuito defectuoso
P0186	Sensor temperatura combustible B - rango,funcionamiento
P0187	Sensor temperatura combustible B - señal entrada baja
P0188	Sensor temperatura combustible B - señal entrada alta
P0189	Sensor temperatura combustible B - interrupcion intermitente
P0190	Sensor presion rampa combustible - circuito defectuoso
P0191	Sensor presion rampa combustible - rango, funcionamiento
P0192	Sensor presion rampa combustible - señal entrada baja
P0193	Sensor presion rampa combustible - señal entrada alta
P0194	Sensor presion rampa combustible - interrupcion intermitente
P0195	Sensor temperatura aceite motor - circuito defectuoso
P0196	Sensor temperatura aceite motor - rango,funcionamiento
P0197	Sensor temperatura aceite motor - señal entrada baja
P0198	Sensor temperatura aceite motor - señal entrada alta
P0199	Sensor temperatura aceite motor - interrupcion intermitente
P0200	Inyector - circuito defectuoso
P0201	Inyector Cilindro 1 - circuito defectuoso
P0202	Inyector Cilindro 2 - circuito defectuoso
P0203	Inyector Cilindro 3 - circuito defectuoso
P0204	Inyector Cilindro 4 - circuito defectuoso
P0205	Inyector Cilindro 5 - circuito defectuoso
P0206	Inyector Cilindro 6 - circuito defectuoso
P0207	Inyector Cilindro 7 - circuito defectuoso
P0208	Inyector Cilindro 8 - circuito defectuoso
P0209	Inyector Cilindro 9 - circuito defectuoso
P0210	Inyector Cilindro 10 - circuito defectuoso
P0211	Inyector Cilindro 11 - circuito defectuoso
P0212	Inyector Cilindro 12 - circuito defectuoso
P0213	Inyector arranque en frio 1 - circuito defectuoso
P0214	Inyector arranque en frio 2 - circuito defectuoso
P0215	Solenoide corte combustible - circuito defectuoso
P0216	Control reglaje inyeccion - circuito defectuoso
P0217	Sobrecalentamiento motor
P0218	Sobrecalentamiento transmision
P0219	Sobreregimen motor
P0220	Sensor posicion pedal acelerador B/Mariposa B - circuito defectuoso
P0221	Sensor posicion pedal acelerador B/Mariposa B - rango,funcionamiento
P0222	Sensor posicion pedal acelerador B/Mariposa B - señal entrada baja
P0223	Sensor posicion pedal acelerador B/Mariposa B - señal entrada alta
P0224	Sensor posicion pedal acelerador B/Mariposa B - interrupcion intermitente
P0225	Sensor posicion pedal acelerador C/Mariposa C - circuito defectuoso
P0226	Sensor posicion pedal acelerador C/Mariposa C - rango,funcionamiento
P0227	Sensor posicion pedal acelerador C/Mariposa C - señal entrada baja
P0228	Sensor posicion pedal acelerador C/Mariposa C - señal entrada alta
P0229	Sensor posicion pedal acelerador C/Mariposa C - interrupcion intermitente
P0230	Rele bomba combustible principal - circuito defectuoso
P0231	Rele bomba combustible secundaria - señal baja
P0232	Rele bomba combustible secundaria - señal alta
P0233	Rele bomba combustible secundaria - interrupcion intermitente
P0234	Sobrealimentacion motor - limite excedido
P0235	Sobrealimentacion motor turbocompresor - limite no alcanzado
P0236	Sensor presion absoluta colector A (turbo) - rango,funcionamiento
P0237	Sensor presion absoluta colector A (turbo) - señal baja
P0238	Sensor presion absoluta colector A (turbo) - señal alta
P0239	Sensor presion absoluta colector B (turbo) - circuito defectuoso
P0240	Sensor presion absoluta colector B (turbo) - rango,funcionamiento
P0241	Sensor presion absoluta colector B (turbo) - señal baja
P0242	Sensor presion absoluta colector B (turbo) - señal alta
P0243	Valvula descarga turbo A - circuito defectuoso
P0244	Valvula descarga turbo A - rango,funcionamiento
P0245	Valvula descarga turbo A - señal baja
P0246	Valvula descarga turbo A - señal alta
P0247	Valvula descarga turbo B - circuito defectuoso
P0248	Valvula descarga turbo B - rango,funcionamiento
P0249	Valvula descarga turbo B - señal baja
P0250	Valvula descarga turbo B - señal alta
P0251	Bomba inyeccion A (arbol levas/rotor) - circuito defectuoso
P0252	Bomba inyeccion A (arbol levas/rotor) - rango,funcionamiento
P0253	Bomba inyeccion A (arbol levas/rotor) - señal baja
P0254	Bomba inyeccion A (arbol levas/rotor) - señal alta
P0255	Bomba inyeccion A (arbol levas/rotor) - interrupcion intermitente
P0256	Bomba inyeccion B (arbol levas/rotor) - circuito defectuoso
P0257	Bomba inyeccion B (arbol levas/rotor) - rango,funcionamiento
P0258	Bomba inyeccion B (arbol levas/rotor) - señal baja
P0259	Bomba inyeccion B (arbol levas/rotor) - señal alta
P0260	Bomba inyeccion B (arbol levas/rotor) - interrupcion intermitente
P0261	Inyector Cilindro 1 - señal baja
P0262	Inyector Cilindro 1 - señal alta
P0263	Cilindro 1 - fallo contribucion/equilibrio
P0264	Inyector Cilindro 2 - señal baja
P0265	Inyector Cilindro 2 - señal alta
P0266	Cilindro 2 - fallo contribucion/equilibrio
P0267	Inyector Cilindro 3 - señal baja
P0268	Inyector Cilindro 3 - señal alta
P0269	Cilindro 3 - fallo contribucion/equilibrio
P0270	Inyector Cilindro 4 - señal baja
P0271	Inyector Cilindro 4 - señal alta
P0272	Cilindro 4 - fallo contribucion/equilibrio
P0273	Inyector Cilindro 5 - señal baja
P0274	Inyector Cilindro 5 - señal alta
P0275	Cilindro 5 - fallo contribucion/equilibrio
P0276	Inyector Cilindro 6 - señal baja
P0277	Inyector Cilindro 6 - señal alta
P0278	Cilindro 6 - fallo contribucion/equilibrio
P0279	Inyector Cilindro 7 - señal baja
P0280	Inyector Cilindro 7 - señal alta
P0281	Cilindro 7 - fallo contribucion/equilibrio
P0282	Inyector Cilindro 8 - señal baja
P0283	Inyector Cilindro 8 - señal alta
P0284	Cilindro 8 - fallo contribucion/equilibrio
P0285	Inyector Cilindro 9 - señal baja
P0286	Inyector Cilindro 9 - señal alta
P0287	Cilindro 9 - fallo contribucion/equilibrio
P0288	Inyector Cilindro 10 - señal baja
P0289	Inyector Cilindro 10 - señal alta
P0290	Cilindro 10 - fallo contribucion/equilibrio
P0291	Inyector Cilindro 11 - señal baja
P0292	Inyector Cilindro 11 - señal alta
P0293	Cilindro 11 - fallo contribucion/equilibrio
P0294	Inyector Cilindro 12 - señal baja
P0295	Inyector Cilindro 12 - señal alta
P0296	Cilindro 12 - fallo contribucion/equilibrio
P0297	Sobrevelocidad del vehiculo
P0298	Temperatura aceite motor demasiado alta
P0299	Turbocompresor
P0300	Uno o varios cilindros - falsa explosion detectada
P0301	Cilindro 1 - falsa explosion detectada
P0302	Cilindro 2 - falsa explosion detectada
P0303	Cilindro 3 - falsa explosion detectada
P0304	Cilindro 4 - falsa explosion detectada
P0305	Cilindro 5 - falsa explosion detectada
P0306	Cilindro 6 - falsa explosion detectada
P0307	Cilindro 7 - falsa explosion detectada
P0308	Cilindro 8 - falsa explosion detectada
P0309	Cilindro 9 - falsa explosion detectada
P0310	Cilindro 10 - falsa explosion detectada
P0311	Cilindro 11 - falsa explosion detectada
P0312	Cilindro 12 - falsa explosion detectada
P0313	Falsa explosion detectada - nivel bajo combustible
P0314	Falsa explosion en un solo cilindro
P0315	Sistema posicion cigueñal
P0316	Falsa explosion durante arranque motor
P0317	No encuentra hardware carretera desnivelada
P0318	Sensor carretera desnivelada A - circuito defectuoso
P0319	Sensor carretera desnivelada B - circuito defectuoso
P0320	Sensor posicion cigueñal/regimen motor - circuito defectuoso
P0321	Sensor posicion cigueñal/regimen motor - rango,funcionamiento
P0322	Sensor posicion cigueñal/regimen motor - No hay señal
P0323	Sensor posicion cigueñal/regimen motor - Interrupcion intermitente
P0324	Error sistema control detonacion
P0325	Sensor detonacion 1 (bloque 1) - circuito defectuoso
P0326	Sensor detonacion 1 (bloque 1) - rango funcionamiento
P0327	Sensor detonacion 1 (bloque 1) - señal entrada baja
P0328	Sensor detonacion 1 (bloque 1) - señal entrada alta
P0329	Sensor detonacion 1 (bloque 1) - interrupcion intermitente
P0330	Sensor detonacion 2 (bloque 2) - circuito defectuoso
P0331	Sensor detonacion 2 (bloque 2) - rango,funcionamiento
P0332	Sensor detonacion 2 (bloque 2) - señal entrada baja
P0333	Sensor detonacion 2 (bloque 2) - señal entrada alta
P0334	Sensor detonacion 2 (bloque 2) - interrupcion intermitente
P0335	Sensor posicion cigueñal A - circuito defectuoso
P0336	Sensor posicion cigueñal A - rango,funcionamiento
P0337	Sensor posicion cigueñal A - señal entrada baja
P0338	Sensor posicion cigueñal A - señal entrada alta
P0339	Sensor posicion cigueñal A - interrupcion intermitente
P0340	Sensor posicion arbol levas A (bloque 1) - circuito defectuoso
P0341	Sensor posicion arbol levas A (bloque 1) - rango,funcionamiento
P0342	Sensor posicion arbol levas A (bloque 1) - señal entrada baja
P0343	Sensor posicion arbol levas A (bloque 1) - señal entrada alta
P0344	Sensor posicion arbol levas A (bloque 1) - interrupcion intermitente
P0345	Sensor posicion arbol levas A (bloque 2) - circuito defectuoso
P0346	Sensor posicion arbol levas A (bloque 2) - rango,funcionamiento
P0347	Sensor posicion arbol levas A (bloque 2) - señal entrada baja
P0348	Sensor posicion arbol levas A (bloque 2) - señal entrada alta
P0349	Sensor posicion arbol levas A (bloque 2) - interrupcion intermitente
P0350	Bobina encendido Primaria/Secundaria - circuito defectuoso
P0351	Bobina encendido A Primaria/Secundaria - circuito defectuoso
P0352	Bobina encendido B Primaria/Secundaria - circuito defectuoso
P0353	Bobina encendido C Primaria/Secundaria - circuito defectuoso
P0354	Bobina encendido D Primaria/Secundaria - circuito defectuoso
P0355	Bobina encendido E Primaria/Secundaria - circuito defectuoso
P0356	Bobina encendido F Primaria/Secundaria - circuito defectuoso
P0357	Bobina encendido G Primaria/Secundaria - circuito defectuoso
P0358	Bobina encendido H Primaria/Secundaria - circuito defectuoso
P0359	Bobina encendido I Primaria/Secundaria - circuito defectuoso
P0360	Bobina encendido J Primaria/Secundaria - circuito defectuoso
P0361	Bobina encendido K Primaria/Secundaria - circuito defectuoso
P0362	Bobina encendido L Primaria/Secundaria - circuito defectuoso
P0363	Falsa explosion detectada - cancelacion alimentacion combustible
P0365	Sensor posicion arbol levas B, bloque 1 - circuito defectuoso
P0366	Sensor posicion arbol levas B, bloque 1 - rango,funcionamiento
P0367	Sensor posicion arbol levas B, bloque 1 - señal entrada baja
P0368	Sensor posicion arbol levas B, bloque 1 - señal entrada alta
P0369	Sensor posicion arbol levas B, bloque 1 - interrupcion intermitente
