B1676	Tensione batteria fuori campo[Fiat]
P0905	Posicion neutral caja cambios - rango, funcionamiento
P0906	Posicion neutral caja cambios - señal baja
P0907	Posicion neutral caja cambios - señal alta
P0908	Posicion neutral caja cambios - interrupcion intermitente
P0909	Error regulacion posicion neutral caja cambios
P0910	Actuador seleccion posicion neutral caja cambios - circuito defectuoso
P0911	Actuador seleccion posicion neutral caja cambios - rango,funcionamiento
P0912	Actuador seleccion posicion neutral caja cambios - señal baja
P0913	Actuador seleccion posicion neutral caja cambios - señal alta
P0914	Circuito posicion cambio marchas - circuito defectuoso
P0915	Circuito posicion cambio marchas - rango,funcionamiento
P0916	Circuito posicion cambio marchas - señal baja
P0917	Circuito posicion cambio marchas - señal alta
P0918	Circuito posicion cambio marchas - interrupcion intermitente
P0919	Control posicion cambio marchas - error
P0920	Actuador avance cambio marchas - circuito defectuoso
P0921	Actuador avance cambio marchas - rango, funcionamiento
P0922	Actuador avance cambio marchas - señal baja
P0923	Actuador avance cambio marchas - señal alta
P0924	Actuador retroceso cambio marchas - circuito defectuoso
P0925	Actuador retroceso cambio marchas - rango,funcionamiento
P0926	Actuador retroceso cambio marchas - señal baja
P0927	Actuador retroceso cambio marchas - señal alta
P0928	Electrovalvula bloqueo cambio marchas - circuito defectuoso
P0929	Electrovalvula bloqueo cambio marchas - rango,funcionamiento
P0930	Electrovalvula bloqueo cambio marchas - señal baja
P0931	Electrovalvula bloqueo cambio marchas - señal alta
P0932	Sensor presion hidraulica - circuito defectuoso
P0933	Sensor presion hidraulica - rango,funcionamiento
P0934	Sensor presion hidraulica - señal entrada baja
P0935	Sensor presion hidraulica - señal entrada alta
P0936	Sensor presion hidraulica - interrupcion intermitente
P0937	Sensor temperatura aceite hidraulico - circuito defectuoso
P0938	Sensor temperatura aceite hidraulico - rango,funcionamiento
P0939	Sensor temperatura aceite hidraulico - señal entrada baja
P0940	Sensor temperatura aceite hidraulico - señal entrada alta
P0941	Sensor temperatura aceite hidraulico - interrupcion intermitente
P0942	Unidad presion hidraulica
P0943	Unidad presion hidraulica - recorrido corto
P0944	Unidad presion hidraulica - perdida presion
P0945	Rele bomba hidraulica - circuito abierto
P0946	Rele bomba hidraulica - rango,funcionamiento
P0947	Rele bomba hidraulica - señal baja
P0948	Rele bomba hidraulica - señal alta
P0949	Cambio manual automatizado (ASM) - valores adaptativos no registrados
P0950	Cambio manual automatizado (ASM) - circuito defectuoso
P0951	Cambio manual automatizado (ASM) - rango,funcionamiento
P0952	Cambio manual automatizado (ASM) - señal baja
P0953	Cambio manual automatizado (ASM) - señal alta
P0954	Cambio manual automatizado (ASM) - interrupcion intermitente
P0955	Circuito modo cambio manual automatizado (ASM) - circuito defectuoso
P0956	Circuito modo cambio manual automatizado (ASM) - rango,funcionamiento
P0957	Circuito modo cambio manual automatizado (ASM) - señal baja
P0958	Circuito modo cambio manual automatizado (ASM) - señal alta
P0959	Circuito modo cambio manual automatizado (ASM) - interrupcion intermitente
P0960	Solenoide control presion A - circuito defectuoso
P0961	Solenoide control presion A - rango,funcionamiento
P0962	Solenoide control presion A - señal baja
P0963	Solenoide control presion A - señal alta
P0964	Solenoide control presion B - circuito defectuoso
P0965	Solenoide control presion B - rango,funcionamiento
P0966	Solenoide control presion B - señal baja
P0967	Solenoide control presion B - señal alta
P0968	Solenoide control presion C - circuito defectuoso
P0969	Solenoide control presion C - rango,funcionamiento
P0970	Solenoide control presion C - señal baja
P0971	Solenoide control presion C - señal alta
P0972	Electrovalvula de cambio A - rango,funcionamiento
P0973	Electrovalvula de cambio A - señal baja
P0974	Electrovalvula de cambio A - señal alta
P0975	Electrovalvula de cambio B - rango,funcionamiento
P0976	Electrovalvula de cambio B - señal baja
P0977	Electrovalvula de cambio B - señal alta
P0978	Electrovalvula de cambio C - rango,funcionamiento
P0979	Electrovalvula de cambio C - señal baja
P0980	Electrovalvula de cambio C - señal alta
P0981	Electrovalvula de cambio D - rango,funcionamiento
P0982	Electrovalvula de cambio D - señal baja
P0983	Electrovalvula de cambio D - señal alta
P0984	Electrovalvula de cambio E - rango,funcionamiento
P0985	Electrovalvula de cambio E - señal baja
P0986	Electrovalvula de cambio E - señal alta
P0987	Sensor/Interruptor presion aceite transmision E - circuito defectuoso
P0988	Sensor/Interruptor presion aceite transmision E - rango,funcionamiento
P0989	Sensor/Interruptor presion aceite transmision E - señal baja
P0990	Sensor/Interruptor presion aceite transmision E - señal alta
P0991	Sensor/Interruptor presion aceite transmision E - interrupcion intermitente
P0992	Sensor/Interruptor presion aceite transmision F - circuito defectuoso
P0993	Sensor/Interruptor presion aceite transmision F - rango,funcionamiento
P0994	Sensor/Interruptor presion aceite transmision F - señal baja
P0995	Sensor/Interruptor presion aceite transmision F - señal alta
P0996	Sensor/Interruptor presion aceite transmision F - interrupcion intermitente
P0997	Electrovalvula cambio F - rango,funcionamiento
P0998	Electrovalvula cambio F - señal baja
P0999	Electrovalvula cambio F - señal alta
P1000	Prueba preparacion sistema no completada
P1001	Diagnosis del sistema incompleta
P1100	Sensor flujo masa aire - interrupcion intermitente
P1101	Sensor flujo masa aire - fuera limites
P1102	Sensor MAF menor que previsto
P1103	Sensor MAF mayor que previsto
P1104	Sensor MAF - circuito defectuoso
P1105	Sensor presion barometrica - circuito defectuoso
P1106	Alternador/Sensor MAP señal tension baja
P1107	Alternador/Sensor MAP señal tension baja
P1108	Testigo Bateria, alternador - circuito defectuoso
P1109	Temperatura aire admision - averia intermitente
P1110	Temperatura aire admision - circuito abierto
P1111	Temperatura aire admision - interrupcion intermitente/alta
P1112	Temperatura aire admision - interrupcion intermitente/baja
P1113	Temperatura aire admision - circuito abierto
P1114	Temperatura motor intermitente/Aire admision señal entrada baja
P1115	Temperatura motor intermitente/Aire admision señal entrada alta
P1116	Temperatura motor fuera de rango
P1117	Sensor temperatura refrigerante motor - interrupcion intermitente
P1118	Sensor Temperatura absoluta escape - señal entrada baja
P1119	Sensor Temperatura absoluta escape - señal entrada alta
P1120	Sensor posicion mariposa - fuera de rango
P1121	Sensor posicion mariposa - intermitente,señal alta
P1122	Sensor posicion mariposa - intermitente,señal baja
P1123	Sensor posicion mariposa - valor elevado
P1124	Sensor posicion mariposa - fuera limites
P1125	Sensor posicion mariposa - interrupcion intermitente
P1126	Sensor posicion mariposa - circuito defectuoso
P1127	Temperatura escape - fuera de rango
P1128	Sondas lambda 1 - transpuestos
P1129	Sondas lambda 2 - transpuestos
P1130	Sonda lambda - regulacion inyeccion limite
P1131	Sonda lambda - mezcla pobre
P1132	Sonda lambda - mezcla rica
P1133	Sonda lambda 1 - Insuficiente
P1134	Sonda lambda 1 - tiempo reaccion
P1135	Sensor posicion pedal A - circuito defectuoso
P1136	Ventilador motor - circuito defectuoso
P1137	Sonda lambda 1 bloque 2 - mezcla pobre
P1138	Sonda lambda 1 bloque 2 - mezcla rica
P1139	Indicador agua en combustible - circuito defectuoso
P1140	Agua en el combustible
P1141	Indicador restriccion combustible - circuito defectuoso
P1142	Restriccion combustible
P1143	Valvula control aire asistido - rango,funcionamiento
P1144	Valvula control aire asistido - circuito defectuoso
P1145	Error de par calculado
P1150	Sonda lambda - regulacion inyeccion al limite
P1151	Sonda lambda - mezcla pobre
P1152	Sonda lambda - mezcla rica
P1153	Control combustible (Bloque 2) - mezcla pobre
P1154	Control combustible (bloque 2) - mezcla rica
P1155	Controlador alternativo combustible
P1156	Interruptor seleccion combustible - circuito defectuoso
P1157	Sonda lambda 2 bloque 2 - mezcla pobre
P1158	Sonda lambda 2 bloque 2 - mezcla rica
P1159	Motor paso a paso combustible - circuito defectuoso
P1167	Fallo diagnosis, Mariposa no soltada
P1168	Sensor combustible rail - valor muy bajo
P1169	Sensor combustible rail - valor muy alto
P1170	Solenoide desconexion motor - fallo
P1171	Sensor rotor - fallo
P1172	Control rotor - fallo
P1173	Calibracion rotor - fallo
P1174	Sensor arbol levas - fallo
P1175	Control arbol levas - fallo
P1176	Calibracion arbol levas - fallo
P1177	Fallo sincronizacion
P1178	Circuito abierto
P1180	Sensor temperatura combustible -señal baja
P1181	Sensor temperatura combustible -señal alta
P1182	Solenoide desconexion combustible - circuito defectuoso
P1183	Temperatura aceite motor - circuito defectuoso
P1184	Temperatura aceite motor - fuera de rango
P1185	Sensor temperatura bomba combustible - alto
P1186	Sensor temperatura bomba combustible - bajo
P1187	Seleccion variante
P1188	Fallo calibracion memoria
P1189	Velocidad Bomba - fallo señal
P1190	Resistencia Calibracion fuera de rango
P1191	Tension linea llave
P1192	Tension externa
P1193	Controlador sobrecorriente EGR
P1194	UCE conversor A/D
P1195	Bomba combustible - fallo inicializar
P1196	Tension apagado llave - valor alto
P1197	Tension apagado llave - valor bajo
P1198	Control rotor combustible - bajo combustible
P1199	Nivel combustible - señal entrada baja
P1200	Inyector - rango,funcionamiento
P1201	Inyector Cilindro 1 - circuito abierto,cortocicuito
P1202	Inyector Cilindro 2 - circuito abierto,cortocicuito
P1203	Inyector Cilindro 3 - circuito abierto,cortocicuito
P1204	Inyector Cilindro 4 - circuito abierto,cortocicuito
P1205	Inyector Cilindro 5 - circuito abierto,cortocicuito
P1206	Inyector Cilindro 6 - circuito abierto,cortocicuito
P1209	Presion control inyector - fallo sistema
P1210	Presion control inyector - valor superior esperado
P1211	Presion control inyector - alta/baja
P1212	Presion control inyector - sin señal
P1213	Inyector arranque - circuito defectuoso
P1214	Sensor posicion pedal B - interrupcion intermitente
P1215	Sensor posicion pedal C - señal entrada baja
P1216	Sensor posicion pedal C - señal entrada alta
P1217	Sensor posicion pedal C - interrupcion intermitente
P1218	Control Inyeccion - alto
P1219	Control Inyeccion - bajo
P1220	Control Mariposa - circuito defectuoso
P1221	Control Traccion - circuito defectuoso
P1222	Control Traccuin salida - circuito defectuoso
P1223	Parada de emergencia redundante
P1224	Sensor posicion Mariposa B - valor fuera de rango
P1225	Sensor elevacion aguja inyector
P1226	Sensor posicion regulador cantidad combustible - circuito defectuoso
P1227	Solenoide reglaje inyeccion - valor Sobrepresion
P1228	Solenoide reglaje inyeccion - valor bajopresion
P1229	Controlador bomba intercooler - fallo
P1230	Bomba combustible velocidad baja - circuito defectuoso
P1231	Bomba combustible secundaria, alta velocidad - señal baja
P1232	Velocidad bomba combustible principal - circuito defectuoso
P1233	Modulo Controlador Bomba combustible desconexion linea
P1234	Modulo Controlador Bomba combustible desconexion linea
P1235	Control bomba combustible - fuera de rango
P1236	Control bomba combustible - fuera de rango
P1237	Bomba combustible secundaria - circuito defectuoso
P1238	Bomba combustible secundaria - circuito defectuoso
P1239	Fallo velocidad bomba combustible
P1240	Sensor alimentacion corriente
P1241	Sensor alimentacion corriente - señal entrada baja
P1242	Sensor alimentacion corriente - señal entrada alta
P1243	Fallo segunda bomba combustible o masa
P1244	Alternador - señal entrada alta
P1245	Alternador - señal entrada baja
P1246	Alternador
P1247	Presion turbo baja
P1248	Presion turbo no detectada
P1249	Valvula reglaje inyeccion - funcionamiento
P1250	Solenoide Bomba - circuito defectuoso
P1251	Solenoide mezcla aire - circuito defectuoso
P1252	Correlacion pedal PDS1 y LPDS alta
P1253	Correlacion pedal PDS1 y LPDS baja
P1254	Correlacion pedal PDS2 y LPDS alta
P1255	Correlacion pedal PDS2 y LPDS baja
P1256	Correlacion pedal PDS1 y HPDS
P1257	Correlacion pedal PDS2 y HPDS
P1258	Correlacion pedal PDS1 y PDS2
P1259	Error señal inmovilizador a modulo motor
P1260	Robo detectado - vehiculo inmovilizado
P1261	Cilindro 1 alto a bajo - corto
P1262	Cilindro 2 alto a bajo - corto
P1263	Cilindro 3 alto a bajo - corto
P1264	Cilindro 4 alto a bajo - corto
P1265	Cilindro 5 alto a bajo - corto
P1266	Cilindro 6 alto a bajo - corto
P1267	Cilindro 7 alto a bajo - corto
P1268	Cilindro 8 alto a bajo - corto
P1269	Codigo inmovilizador no programado
P1270	Regimen motor/velocidad vehiculo maximos alcanzados
P1271	Cilindro 1 alto a bajo - abierto
P1272	Cilindro 2 alto a bajo - abierto
P1273	Cilindro 3 alto a bajo - abierto
P1274	Cilindro 4 alto a bajo - abierto
P1275	Cilindro 5 alto a bajo - abierto
P1276	Cilindro 6 alto a bajo - abierto
P1277	Cilindro 7 alto a bajo - abierto
P1278	Cilindro 8 alto a bajo - abierto
P1280	Presion control inyeccion - demasiado bajo
P1281	Presion control inyeccion - demasiado alto
P1282	Presion control inyeccion - excesiva
P1283	Regulador presion inyector - circuito defectuoso
P1284	Fallo en presion control inyector
P1285	Sensor temperatura culata - sobrecalentamiento
P1286	Impulso combustible - menor de lo previsto
P1287	Impulso combustible - mayor de lo previsto
P1288	Sensor temperatura culata - fuera de limites
P1289	Sensor temperatura culata - señal entrada alta
P1290	Sensor temperatura culata - señal entrada baja
P1291	Inyector bloque 1 corto a masa o positivo
P1292	Inyector bloque 2 corto a masa o positivo
P1293	Inyector bloque 1 abierto
P1294	Inyector bloque 2 abierto
P1295	Multiples fallos bloque 1
P1296	Multiples fallos bloque 2
P1297	Inyector cortado
P1298	Fallo IDM
P1299	Sensor temperatura culada - sistema proteccion activo
P1300	Fallo calibracion compresor
P1301	Calibracion compresor alta
P1302	Calibracion compresor baja
P1303	Fallo calibracion EGR
P1304	Calibracion EGR alta
P1305	Calibracion EGR baja
P1306	Rele Kickdown forzado - fallo circuito
P1307	Rele Kickdown mantenido - fallo circuito
P1308	Aire acondicionado - fallo circuito
P1309	Fallo chip supervisor detonacion
P1313	Fallo catalizador/detonacion bloque 1
P1314	Fallo catalizador/detonacion bloque 2
P1315	Detonacion persistente
P1316	Circuito inyector/Codigos IDM
P1317	Circuito inyector/Codigos IDM
P1319	Sensor posicion piston reglaje inyeccion - circuito defectuoso
P1336	Sensor arbol levas - rango,funcionamiento
P1340	Sensor posicion arbol levas B - circuito defectuoso
P1341	Sensor posicion arbol levas B - rango,funcionamiento
P1342	Sensor posicion pedal acelerador A - rango,funcionamiento
P1343	Sensor posicion pedal acelerador B - rango,funcionamiento
P1344	Sensor posicion pedal acelerador C - rango,funcionamiento
P1345	Sensor posicion arbol levas - circuito defectuoso
P1346	Sensor nivel combustible B - circuito defectuoso
P1347	Sensor nivel combustible B - rango,funcionamiento
P1348	Sensor nivel combustible B - señal baja
P1349	Sensor nivel combustible B - señal alta
P1350	Sensor nivel combustible B - interrupcion intermitente
P1351	Monitor diagnosis encendido - circuito entrada defectuoso
P1352	Primario encendido A - circuito defectuoso
P1353	Primario encendido B - circuito defectuoso
P1354	Primario encendido C - circuito defectuoso
P1355	Primario encendido D - circuito defectuoso
P1358	Monitor diagnosis encendido - señal fuera de limites
P1359	Sistema encendido, señal salida chispa - circuito defectuoso
P1360	Secundario encendido A - circuito defectuoso
P1361	Control encendido - tension baja
P1362	Secundario encendido C - circuito defectuoso
P1363	Secundario encendido D - circuito defectuoso
P1364	Primario encendido - circuito defectuoso
P1365	Secundario encendido - circuito defectuoso
P1366	Componentes encendido
P1367	Componentes encendido
P1368	Componentes encendido
P1369	Testigo temperatura motor - circuito defectuoso
P1370	Insuficiente incremento RPM
P1371	Encendido cilindro 1 - fallo activacion
P1372	Encendido cilindro 2 - fallo activacion
P1373	Encendido cilindro 3 - fallo activacion
P1374	Encendido cilindro 4 - fallo activacion
P1375	Encendido cilindro 5 - fallo activacion
P1376	Encendido cilindro 6 - fallo activacion
P1380	Detectada detonacion
P1381	Actuador posicion arbol levas (bloque 1) - encendido sobreavanzado
P1382	Solenoide posicion arbol levas (bloque 1) - circuito defectuoso
P1383	Actuador posicion arbol levas (bloque 1) - encendido sobreretrasado
P1384	Solenoide A arbol levas - circuito defectuoso
P1385	Solenoide B arbol levas - circuito defectuoso
P1386	Actuador posicion arbol levas (bloque 2) - encendido sobreavanzado
P1387	Solenoide posicion arbol levas (bloque 2) - circuito defectuoso
P1388	Actuador posicion arbol levas (bloque 2) - encendido sobreretrasado
P1389	Bujias - señal baja
P1390	Conector codificacion octano - circuito abierto
P1391	Bujias encendido (bloque 1) - señal baja
P1392	Bujias encendido (bloque 1) - señal alta
P1393	Bujias encendido (bloque 2) - señal baja
P1394	Bujias encendido (bloque 2) - señal alta
P1395	Fallo supervisor bujias (bloque 1)
P1396	Fallo supervisor bujias (bloque 2)
P1397	Tension alimentacion fuera de rango
P1398	Solenoide B arbol levas - señal alta
P1399	Bujias encendido - señal alta
P1400	Sensor presion recirculacion gases escape - señal baja
P1401	Sensor presion recirculacion gases escape - señal alta
P1402	Sistema recirculacion gases escape EGR - orificio medicion restringido
P1403	Sensor EGR - Diferencia control
P1404	Temperatura aire inyeccion/Recirculacion EGR
P1405	Sensor EGR - tubo flexible delantero desconectado u obstruido
P1406	Sensor EGR - tubo flexible trasero desconectado u obstruido
P1407	Sensor EGR - No detecta flujo
P1408	Recirculacion gases escape - flujo fuera limites
P1409	Solenoide recirculacion gases escape - circuito defectuoso
P1411	Inyeccion aire secundario - flujo bajo
P1413	Supervisor inyeccion aire secundario - señal entrada baja
P1414	Supervisor inyeccion aire secundario - señal entrada alta
P1415	Bomba Aire - circuito defectuoso
P1416	Entrada aire - circuito defectuoso
P1417	Entrada aire - circuito defectuoso
P1418	Division aire 1 - circuito defectuoso
P1419	Division aire 2 - circuito defectuoso
P1420	Sensor temperatura catalizador
P1421	Catalizador - defectuoso
P1422	Encendido gases escape - Sensor temperatura
P1423	Encendido gases escape - prueba funcional
P1424	Encendido gases escape - bujia primaria
P1425	Encendido gases escape - bujia secundaria
P1426	Encendido gases escape - señal MAF fuera de rango
P1427	Encendido gases escape - señal MAF cortocircuito
P1428	Encendido gases escape - señal MAF circuito abierto
P1429	Bomba aire electrica - primaria
P1430	Bomba aire electrica - secundaria
P1432	Calentador termostato motor - circuito defectuoso
P1433	Temperatura refrigerante aire acondicionado - señal baja
P1434	Temperatura refrigerante aire acondicionado - señal alta
P1435	Temperatura refrigerante aire acondicionado - rango,funcionamiento
P1436	Temperatura evaporador aire acondicionado - señal baja
P1437	Temperatura evaporador aire acondicionado - señal alta
P1438	Temperatura evaporador aire acondicionado - rango,funcionamiento
P1439	Interruptor temperatura - circuito defectuoso
P1440	Valvula purga abierto
P1441	Sistema emision evaporaciones
P1442	Control emision evaporaciones
P1443	Valvula control emision evaporaciones
P1444	Sensor purga flujo - señal baja
P1445	Sensor purga flujo - señal alta
P1446	Solenoide evaporaciones - circuito defectuoso
P1447	Valvula ELC
P1448	Fallo sistema ELC
P1449	Solenoide chequeo evaporaciones - circuito defectuoso
P1450	Deposito combustible
P1451	Valvula control emisiones evaporacion
P1452	Deposito combustible
P1453	Valvula presion deposito combustible
P1454	Prueba sistema evaporaciones - circuito defectuoso
P1455	Control emision evaporaciones
P1456	Sensor temperatura deposito combustible - circuito defectuoso
P1457	Imposible forzar aspiracion en deposito combustible
P1460	Señal mariposa plena carga (corte A/C) - circuito defectuoso
P1461	Sensor presion aire acondicionado - tension baja
P1462	Sensor presion aire acondicionado - tension alta
P1463	Sensor presion aire acondicionado - presion insuficiente
P1464	Peticion aire condicionado fuera limites diagnosis
P1465	Rele aire acondicionado - circuito defectuoso
P1466	Sensor temperatura refrigerante aire acondicionado - circuito defectuoso
P1467	Sensor temperatura compresor aire acondicionado - circuito defectuoso
P1468	Circuito abierto/cortocircuito SSPOD
P1469	Periodo reciclaje aire acondicionado bajo
P1470	Embrague compresor aire acondicionado - recorrido demasiado corto
P1471	Fallo electroventilador 1 (lado conductor)
P1472	Fallo electroventilador 2 (lado pasajero)
P1473	Ventilador secundario alto con ventiladores apagados
P1474	Ventilador - circuito defectuoso
P1475	Rele ventiladores bajo - circuito defectuoso
P1476	Rele ventiladores alto - circuito defectuoso
P1477	Rele ventilador adicional - circuito defectuoso
P1478	Ventilador refrigerante motor - fallo controlador
P1479	Ventilador refrigerante motor - circuito defectuoso
P1480	Ventilador secundario bajo con ventiladores bajos encendidos
P1481	Ventilador lento motor con veltilador rapido encendido
P1482	Bomba combustible
P1483	Alimentacion ventiladores - sobrecorriente
P1484	Alimentacion abierta a masa
P1485	Valcula EGR - circuito defectuoso
P1486	Actuador EGR - circuito defectuoso
P1487	Solenoide EGR - circuito defectuoso
P1490	Solenoide aire secundario - circuito defectuoso
P1491	Interruptor solenoide secundario - circuito defectuoso
P1492	Solenoide APLSOL - circuito defectuoso
P1493	Solenoide RCNT - circuito defectuoso
P1494	Solenoide SPCUT - circuito defectuoso
P1495	Solenoide TCSPL - circuito defectuoso
P1500	Sensor velocidad vehiculo
P1501	Sensor velocidad vehiculo - fuera de limites
P1502	Sensor velocidad vehiculo - interrupcion intermitente
P1503	Sensor velocidad auxiliar
P1504	Valvula control aire ralenti - circuito defectuoso
P1505	Adaptacion control aire ralenti
P1506	Valvula control aire ralenti - error sobrevelocidad
P1507	Valvula control aire ralenti - error infravelocidad
P1508	Solenoide subida ralenti 1 - circuito abierto
P1509	Control ralenti - cortocircuito
P1510	Señal ralenti - circuito defectuoso
P1511	Interruptor ralenti, mariposa electronica - circuito defectuoso
P1512	Control aire colector admision (bloque 1) - cerrado
P1513	Control aire colector admision (bloque 2) - cerrado
P1514	Fallo controlador
P1515	Corriente electrica - circuito defectuoso
P1516	Solenoide aire colector admision (bloque 1) - error señal entrada
P1517	Solenoide aire colector admision (bloque 2) - error señal entrada
P1518	Control aire colector admision - abierto
P1519	Control aire colector admision - cerrado
P1520	Solenoide control aire colector admision - circuito defectuoso
P1521	Solenoide control aire colector admision (bloque 1) - circuito defectuoso
P1522	Solenoide control aire colector admision (bloque 2) - circuito defectuoso
P1523	Solenoide admision variable - circuito defectuoso
P1524	Solenoide admision variable
P1525	Valvula aire bypass
P1526	Sistema aire bypass
P1527	Solenoide acelerador - circuito defectuoso
P1528	Solenoide valvula mariposa auxiliar - circuito defectuoso
P1529	Solenoide SCAIR - circuito defectioso
P1530	Circuito aire acondicionado
P1531	Movimiento pedal acelerador
P1532	Circuito IMCC (Bloque B) defectuoso
P1533	Circuito AAI defectuoso
P1534	Interruptor inercia activado
P1535	Velocidad ventilador - rango,funcionamiento
P1536	Interruptor freno aparcamiento - circuito defectuoso
P1537	Control aire colector admision (bloque 1) - abierto
P1538	Control aire colector admision (bloque 2) - abierto
P1539	Alimentacion circuito aire acondicionado - sobrecorriente
P1540	Valvula aire bypass - circuito defectuoso
P1549	Circuito IMCC (Bloque B) defectuoso
P1550	PSPS fuera de rango
P1563	Bomba inyeccion - peticion parada motor
P1564	Bomba inyeccion - peticion modo combustible reducido
P1565	Interruptor control velocidad - fuera de rango,alto
P1566	Interruptor control velocidad - fuera de rango,bajo
P1567	Salida control velocidad - continuidad
P1568	Control velocidad - imposible mantener velocidad
P1571	Interruptor frenos - circuito defectuoso
P1572	Interruptor pedal freno - circuito defectuoso
P1573	Posicion mariposa no disponible
P1574	Sensor posicion mariposa - contradiccion entre sensores
P1575	Posicion del pedal - fuera de rango
P1576	Posicion del pedal - no disponible
P1577	Posicion del pedal - contradiccion entre sensores
P1578	Alimentacion ETC menor que exigida
P1579	Alimentacion ETC al limite
P1580	Supervisor mariposa electronica
P1581	Supervisor mariposa electronica - circuito defectuoso
P1582	Supervisor mariposa electronica - datos
P1583	Supervisor mariposa electronica - crucero desactivado
P1584	Unidad Control mariposa Detecta IPE - circuito defectuoso
P1585	Unidad control mariposa - circuito defectuoso
P1586	Unidad control mariposa - posicion mariposa defectuosa
P1587	Unidad control mariposa modulada - circuito defectuoso
P1588	Unidad control mariposa detecta perdida de retorno
P1589	Unidad control mariposa no puede controlar angulo mariposa deseado
P1600	Perdida alimentacion corriente auxiliar
P1601	Error comunicaciones serie
P1602	Modulo control inmovilizador - error comunicacion
P1603	Memoria EEPROM defectuosa
P1604	Codigo no registrado
P1605	Fallo memoria permanente
P1606	Rele control O/P - circuito defectuoso
P1607	Testigo Averias O/P - circuito defectuoso
P1608	Señal control defectuosa
P1609	Testigo averias - fallo controlador
P1610	Codigos interactivos SBDS
P1611	Codigos interactivos SBDS
P1612	Codigos interactivos SBDS
P1613	Codigos interactivos SBDS
P1614	Codigos interactivos SBDS
P1615	Codigos interactivos SBDS
P1616	Codigos interactivos SBDS
P1617	Codigos interactivos SBDS
P1618	Codigos interactivos SBDS
P1619	Codigos interactivos SBDS
P1620	Codigos interactivos SBDS
P1621	Memoria UCE/Codigo inmovilizador no coinciden
P1622	Identificacion inmovilizador no coincide
P1623	Codigo inmovilizador/identificador - fallo escritura
P1624	Sistema antideslizamiento
P1625	Alimentacion positivo a ventilador - circuito defectuoso
P1626	Señal activado deslizamiento no recibida
P1627	Modulo control motor - tension alimentacion fuera de rango
P1628	Modulo control motor - tension alimentacion
P1629	Modulo control motor - regulador interno tension
P1630	Modulo control motor - tension referencia interna
P1631	Rele control motor/Principal alimentacion
P1632	Sensor averia alternador - circuito defectuoso
P1633	Tension auxiliar - demasiado baja
P1634	Transmision salida datos - circuito defectuoso
P1635	Valores fuera de rango
P1636	Error comunicacion chip señal inductiva
P1637	Comunicacion motor-abs defectuosa
P1638	Comunicacion motor-cuadro instrumentos defectuoso
P1639	Identificacion vehiculo erronea o no programada
P1640	Extraccion averias disponible en otro modulo
P1641	Bomba combustible principal - circuito defectuoso
P1642	Monitor bomba combustible - señal entrada alta
P1643	Cableado circuito red modulos
P1644	Control velocidad bomba combustible - circuito defectuoso
P1645	Interruptor resistencia bomba combustible - circuito defectuoso
P1650	Interruptor presion direccion asistida - fuera limites
P1651	Interruptor presion direccion asistida - señal entrada
P1652	Control Aire inyeccion desactivado
P1653	Tension Alimentacion salida defectuosa
P1654	Recirculacion defectuosa
P1655	Arranque desactivado - circuito defectuoso
P1658	Bomba inyeccion - tension alimentacion fuera rango
P1659	Bomba inyeccion - tension alimentacion
P1660	Señal circuito salida alta
P1661	Señal circuito salida baja
P1662	Fallo circuito IDM_EN
P1663	Señal peticion combustible - circuito defectuoso
P1664	Bomba inyeccion - funcionamiento incorrecto
P1665	Bomba inyeccion - comunicacion
P1666	Bomba inyeccion - sincronizacion sensor posicion cigueñal
P1667	Circuito Control Inyeccion defectuoso
P1668	Bomba inyeccion - perdida señal comunicacion
P1669	Bomba inyeccion - supervision
P1670	Señal electronica no detectada
P1680	Medicion bomba aceite - defectuosa
P1681	Medicion bomba aceite - defectuosa
P1682	Medicion bomba aceite - defectuosa
P1683	Sensor temperatura bomba aceite - circuito defectuoso
P1684	Sensor posicion bomba aceite - circuito defectuoso
P1685	Motor paso a paso bomba aceite - circuito defectuoso
P1686	Motor paso a paso bomba aceite - circuito defectuoso
P1687	Motor paso a paso bomba aceite - circuito defectuoso
P1688	Motor paso a paso bomba aceite - circuito defectuoso
P1689	Solenoide control presion aceite - circuito defectuoso
P1690	Solenoide entrada - circuito defectuoso
P1691	Solenoide control presion turbo - circuito defectuoso
P1692	Solenoide control turbo - circuito defectuoso
P1693	Control carga turbo - circuito defectuoso
P1694	Carga turbo - circuito defectuoso
P1695	Bus de datos CAN - datos bomba inyeccion
P1700	Transmision - fallo en posicion punto muerto
P1701	Error reversible
P1702	Circuito Transmision - interrupcion intermitente
P1703	Interruptor posicion pedal freno - fuera de limites
P1704	Fallo transicion estados en Transmision Digital
P1705	Interruptor marchas cortas/largas - sin funcion en P/N
P1706	Velocidad vehiculo alta en aparcamiento
P1707	Fallo indicador punto muerto
P1708	Interruptor aire acondicionado - circuito defectuoso
P1709	Interruptor posicion estacionamiento/punto muerto - fuera limites
P1711	sensor TFT fuera de rango
P1712	Sistema reduccion par transmision - error señal
P1713	Sensor TFT - Valor muy bajo
P1714	Señal inductiva SSA defectuosa
P1715	Señal inductiva SSB defectuosa
P1716	Señal Inductiva SSC defectuosa
P1717	Señal inductiva SSD defectuosa
P1718	Sensor TFT - valor muy alto
P1720	Medidor velocidad vehiculo - circuito defectuoso
P1721	Marcha 1 incorrecta
P1722	Marcha 2 incorrecta
